Chemical formula,Band gap,Crystallinity
NiAs2,0.05,Polycrystalline
BiI3,2.03,Single crystalline
PtAs2,0.5,
TiO2,3.5,Single crystalline
BeO,10.39,Single crystalline
PrF3,5.9,Polycrystalline
RbCl,8.29,Single crystalline
PdO,0.6,Polycrystalline
CdI2,3.8,Single crystalline
Se,2.01,Single crystalline
InP,1.41,
PdP2,0.65,Polycrystalline
CuBr,3.02,Polycrystalline
AgCl,3.22,Single crystalline
TlSe,0.67,Single crystalline
OsS2,2,Polycrystalline
PbTe,0.31,Single crystalline
FeSb2,0.05,Polycrystalline
PtSb2,0.11,Single crystalline
MnAl3,0.58,Polycrystalline
C,5.503,Single crystalline
NaCl,8.4,Single crystalline
TlCl,3.46,Single crystalline
Bi2Se3,0.4,Single crystalline
PbO2,1.45,Polycrystalline
Ag2S,1.23,Polycrystalline
InSe,1.05,Polycrystalline
FeSi2,0.85,
KI,5.92,Single crystalline
MnTe,1.35,Single crystalline
I,1.68,Single crystalline
CdI2,6.25,Polycrystalline
Na3Sb,1.1,Single crystalline
ZnS,3.73,Single crystalline
Mg2Sn,0.22,Single crystalline
ZnO,3.31,Single crystalline
As2Te3,0.62,Amorphous
GeS,1.68,Single crystalline
Cs3Sb,1.6,Polycrystalline
Yb2O3,1.53,
TlCl,3.468,Single crystalline
CuI,3.07,Single crystalline
CdS,2.386,Single crystalline
GeAs2,1.455,Single crystalline
Bi2S3,0.72,Polycrystalline
HgS,2.16,Single crystalline
Ag2Te,0.028,
Bi,0.024,Single crystalline
Na2Te,2.3,Polycrystalline
Cu2S,1.7,Polycrystalline
SeS,1.9,Polycrystalline
Mg2Sn,0.33,Single crystalline
EuTe,2,Polycrystalline
Fe2O3,2.2,Polycrystalline
SrSe,4.42,Polycrystalline
CdI2,3.2,Single crystalline
EuS,1.65,Single crystalline
SiP2,1.89,Single crystalline
AgI,2.919,Single crystalline
MnO2,0.28,Single crystalline
RbI,6.1,Single crystalline
MnO,2.2,Polycrystalline
SnSe2,0.97,Single crystalline
CdP4,1.15,Polycrystalline
MoS2,0.25,Single crystalline
La2Te3,0.1,Single crystalline
TlSe,0.84,
Bi2O3,2.07,Polycrystalline
PbCl2,3.82,Single crystalline
Sb2S3,1.92,Polycrystalline
KF,10.9,Single crystalline
KI,6.28,Single crystalline
NdB6,4.9,Single crystalline
InSe,1.285,Single crystalline
GaSe,1.98,Single crystalline
As,0.346,Single crystalline
Mg2Ge,0.548,Single crystalline
Sc2O3,6.2,Single crystalline
GaSe,1.97,Single crystalline
CsI,6.37,Polycrystalline
CeO2,2,Single crystalline
SiC,4.4,Single crystalline
GeTe,0.841,Polycrystalline
GdAs,0.63,Polycrystalline
SiC,2.39,Single crystalline
SnO2,2.45,Single crystalline
ZnSb,0.59,Single crystalline
KI,6.2,Single crystalline
Se,1.7,Single crystalline
HoN,1.9,Polycrystalline
AlP,2.65,Single crystalline
ErTe,0.9,Polycrystalline
As2Se3,1.7,Polycrystalline
Cu2S,1.93,Single crystalline
LiBr,7.95,Polycrystalline
Sb2S3,1.71,Single crystalline
FeSb2,0.17,Polycrystalline
K3Sb,1.4,Single crystalline
Cu2O,2.58,Polycrystalline
NaF,10.5,
GaAs,1.62,Single crystalline
Cr2Se3,0.15,
SnSe2,1.62,Single crystalline
ErN,3,
CsBr,7.18,Polycrystalline
CdSe,1.821,Single crystalline
GaAs,1.37,Single crystalline
In2Te3,1.12,Single crystalline
PdTe2,1.8,
Bi2O3,2.86,Polycrystalline
Se,2.3,Single crystalline
BaSe,3.58,Polycrystalline
PbO,2.86,Single crystalline
LiBr,7.5,Single crystalline
Si,1.16,Single crystalline
CdSe,1.816,Single crystalline
Cu2S,1.26,Polycrystalline
CuBr,2.987,Polycrystalline
LaB6,0.08,Polycrystalline
WSe2,1.49,Single crystalline
Cd3P2,0.52,Single crystalline
In2S3,2.03,Single crystalline
SmP,1.09,Polycrystalline
ZrS2,2.75,Single crystalline
KI,6.375,Single crystalline
Mg3Sb2,0.8,Polycrystalline
SiSn,0.59,
As2S3,2.45,Single crystalline
PbN6,3.02,Polycrystalline
Ca2Pb,0.46,Polycrystalline
BP,2,Single crystalline
B,1.16,Single crystalline
Ge,0.88,Amorphous
As2S3,2.43,Amorphous
AgCl,3.25,Single crystalline
RuTe2,0.25,Polycrystalline
BiI3,1.73,Single crystalline
Al2O3,9.9,Single crystalline
Ag2O,1.591,Single crystalline
Cu2S,1.21,Polycrystalline
AgBr,4.29,Single crystalline
Eu3P2,1.2,Polycrystalline
Sb2S3,1.7,Amorphous
Rb3Sb,1,Polycrystalline
MnO2,0.26,Single crystalline
AgTe,0.85,Polycrystalline
Pr2Te3,1.5,Polycrystalline
WS2,1.1,
As2Se3,1.77,Single crystalline
Ag2O,1.2,Polycrystalline
SnO2,3.57,Single crystalline
ZnSe,2.76,Single crystalline
Sm2Se3,2.3,Polycrystalline
As,0.172,Single crystalline
NaBr,7.5,Single crystalline
CdCl2,5.7,Polycrystalline
Sc2S3,2,Single crystalline
InSe,1.357,Single crystalline
Nb2O5,3.48,Polycrystalline
Sn,0.075,Single crystalline
IrSe2,1,
Mg2Pb,0.1,
Bi2Te3,0.15,Single crystalline
AlAs,2.9,Single crystalline
HgI2,2.29,Single crystalline
SbI3,2.12,Single crystalline
SrO,5.77,Polycrystalline
Tl2O3,2.25,Polycrystalline
Mg2Sn,0.34,Polycrystalline
CdSb,0.43,Single crystalline
GaAs,1.35,Single crystalline
Ge,0.799,Single crystalline
NiP2,0.5,
Li3Sb,1,Polycrystalline
CaO,7.5,Single crystalline
Mg2Ge,0.74,Polycrystalline
BeO,10.57,Single crystalline
HgS,1.998,Single crystalline
GaSe,2.07,Single crystalline
ZnTe,2.281,Polycrystalline
Si2Te3,1.98,Single crystalline
SnO2,2.6,
Se,1.85,Single crystalline
CeO2,1.1,Polycrystalline
CoO,0.125,
BP,2,
Sm2O3,1.17,Polycrystalline
B,1.53,Single crystalline
V2O5,2.32,Single crystalline
GaSe,1.97,Single crystalline
As,1.07,Polycrystalline
Sb2Te3,0.3,Single crystalline
PbO,3.36,Polycrystalline
GaBi,0.1,
WTe2,0.075,Single crystalline
KI,6.17,Single crystalline
Nd2Te5,0.29,
ZnSe,2.874,Single crystalline
GaAs,1.147,Single crystalline
CoAs3,0.25,Polycrystalline
AgBr,2.68,Single crystalline
CdSb,0.57,Single crystalline
SnO2,3.631,Single crystalline
Bi2S3,1.3,Polycrystalline
PbS,0.37,Single crystalline
Ga2Se3,1.86,Single crystalline
K3Sb,1.8,Polycrystalline
AgBr,2.52,Single crystalline
KBr,6.58,Single crystalline
AgBr,2.69,Single crystalline
Bi2Te3,0.171,Single crystalline
NiO,0.92,Single crystalline
AgCl,3.08,Single crystalline
TiO2,3.75,Single crystalline
PbCl2,3.94,Single crystalline
LiI,6.3,
PbS,0.44,Single crystalline
Sb,0.101,Single crystalline
GaS,2.52,Single crystalline
ZrO2,0.65,
ErB6,3.5,Polycrystalline
Ag2Se,0.18,Polycrystalline
PbI2,2.36,Polycrystalline
SiAs,1.45,Single crystalline
MoO3,3.23,Single crystalline
Ge,0.771,Single crystalline
SiC,2.86,Single crystalline
LiF,12.61,Single crystalline
SnO2,3.71,Single crystalline
LiF,12,Single crystalline
WS2,0.45,Single crystalline
SiAs,1.57,Single crystalline
Cu2Te,1.04,Single crystalline
AlP,2.51,Single crystalline
SmAs,1.03,Polycrystalline
AlSb,1.62,Single crystalline
AgBr,4.292,Single crystalline
Nd2Te3,1.12,
KBr,7.76,Single crystalline
Ag2S,0.87,Single crystalline
CoAs2,0.15,Polycrystalline
NaI,6,Single crystalline
B2O3,4.9,Polycrystalline
KF,9.61,Single crystalline
Sc2O3,5.4,Polycrystalline
AgBr,2.97,Single crystalline
SiC,2.6,Single crystalline
V2O5,2.54,Single crystalline
SmS,0.2,Single crystalline
SbI3,2.22,Single crystalline
Ag2O,0.64,
As2S3,2.74,Single crystalline
Cu2Se,1.3,Single crystalline
EuN,1.25,Polycrystalline
Na2Se,2,
NdTe2,0.3,
In2S3,1.1,Single crystalline
GaS,2.84,Single crystalline
ErN,2.4,Polycrystalline
Ge,0.735,Single crystalline
Tl2S,0.19,Single crystalline
Pr2O3,0.84,Polycrystalline
SnTe,0.18,Single crystalline
Li3Bi,0.7,Polycrystalline
InSe,2.42,Single crystalline
YbSb,1,Polycrystalline
B,0.74,Amorphous
MgF2,11.1,Single crystalline
BaS,3.88,Polycrystalline
Hg2Cl2,2.84,Single crystalline
GaSb,0.773,Single crystalline
AgBr,2.68,Single crystalline
Tb2O3,0.95,Polycrystalline
SnO2,2.7,Polycrystalline
Sb2Te3,0.3,
Si,1.17,Single crystalline
CdSb,0.428,Single crystalline
B2O3,7,
Sb2Te3,0.3,Single crystalline
Dy2S3,3,Single crystalline
HgI2,2.29,Single crystalline
TlBr,3.05,Single crystalline
PbI2,2.535,Single crystalline
Te,0.343,Single crystalline
PbSe,0.14,Single crystalline
MoO3,3.66,Single crystalline
InAsI,0.41,Single crystalline
GaSb,0.725,Single crystalline
Rb3Sb,0.9,
In2O3,2.619,Single crystalline
ZnTe,2.29,Single crystalline
AlAs,2.233,Single crystalline
ZnSb,1.05,Single crystalline
Bi2O3,2.85,Polycrystalline
AgBr,2.6,Single crystalline
ZrO2,4.99,Polycrystalline
CaI2,5.98,Polycrystalline
Tl2Te3,0.69,Single crystalline
CrO2,0.23,Polycrystalline
CdS,2.526,Single crystalline
KCl,8.5,Single crystalline
La2O3,2.86,
Se3Te,1.87,Polycrystalline
NbSe2,1.4,Single crystalline
ZnS,3.69,Single crystalline
CaO,7,Single crystalline
Be3Sb2,0.67,Polycrystalline
GaTe,1.63,Single crystalline
EuO,1.122,Single crystalline
Fe2O3,1.06,Polycrystalline
NdB6,4,
GeSe,1.1,Single crystalline
GaTe,1.5,Single crystalline
GeSe,1,Single crystalline
Ge,0.882,Single crystalline
MoTe2,1.82,
FeS2,1.2,Single crystalline
ReSi2,0.12,Polycrystalline
Te,0.334,Single crystalline
Mg2Ge,1.67,Single crystalline
Ge,0.005,Single crystalline
PbSe,0.165,Single crystalline
PbS,0.3,Single crystalline
ZnSb,0.5,Single crystalline
AsSe,1.01,Amorphous
AlP,2.45,Single crystalline
CdP2,1.65,
In2O3,2.8,Single crystalline
As2Te3,1.1,Amorphous
SnSe2,1,Single crystalline
SiO2,8.4,Single crystalline
Se,1.77,Single crystalline
ThO2,2.56,
Cu2O,2.67,Polycrystalline
MgSe,5.6,Single crystalline
GaSe,1.93,Single crystalline
GaSe,2.117,Single crystalline
NiS2,0.5,Polycrystalline
FeTe2,0.46,Polycrystalline
Se,2.4,Single crystalline
GaP,2.22,Single crystalline
HgI2,2.322,Single crystalline
VO2,0.65,Single crystalline
Mg2Si,0.655,Single crystalline
WSe2,1.35,
PAs,0.23,Amorphous
AlN,5.88,Single crystalline
PtS2,0.75,
Sc2O3,6,Single crystalline
SnO2,3.7,Single crystalline
BaTe,3.4,Polycrystalline
Ag2Te,0.67,Single crystalline
ZrS3,2.28,Single crystalline
GaP,2.75,Single crystalline
GaAs,1.42,Single crystalline
Se,2.2,Single crystalline
Ge,0.744,Single crystalline
In2Te3,1.15,Single crystalline
La2O3,1.05,
HgSe,0.6,Single crystalline
Se,2.01,Single crystalline
HgTe,0.15,Single crystalline
DyB6,3.3,Polycrystalline
As2Se3,1.73,Polycrystalline
Cu2Te,1.04,Single crystalline
Si,1.165,Single crystalline
HgI2,2.33,Single crystalline
ReS2,1.1,Polycrystalline
ZrO2,0.56,Polycrystalline
HgCl2,4.45,Single crystalline
GaS,2.38,Single crystalline
MnI2,4.4,Polycrystalline
Ag2Se,0.18,Polycrystalline
Zn3Sb2,0.22,Single crystalline
AgN3,3.44,Single crystalline
As2Te3,0.9,Polycrystalline
As2O3,5,Polycrystalline
S,3.82,Single crystalline
SiC,2.2,Single crystalline
As2Te3,0.58,Single crystalline
AlAs,2.13,Single crystalline
PbTe,0.191,Single crystalline
CdI2,3.19,Single crystalline
Si3N4,5,
Bi2Te3,0.2,Single crystalline
SnSe2,1.97,Single crystalline
InP,1.45,Polycrystalline
Al2Se3,3.1,
Tl2S,0.59,
InAs,0.409,Single crystalline
TlI,2.88,Polycrystalline
Se,2.14,Single crystalline
AsSe,1.42,Amorphous
CdTe,1.594,Single crystalline
Ti2S3,0.3,Polycrystalline
TaS2,0.1,
Hg2I2,2.37,Single crystalline
HfS2,2.9,Single crystalline
V2O3,0.1,Single crystalline
CdS,2.582,Single crystalline
Mg2Sn,0.31,Single crystalline
CdSe,1.865,Single crystalline
TlSe,0.73,Single crystalline
HgO,1.18,
TlS,1.36,Single crystalline
MnO,3.7,Single crystalline
ZnSb,0.5,Single crystalline
K2Te,1.9,
ZnSb,0.61,Single crystalline
BeS,4.17,
SiTe2,2.18,Single crystalline
CuP2,1.51,Single crystalline
Cu2S,1.84,Single crystalline
NaI,5.93,Single crystalline
AgCl,3.226,Single crystalline
RbI,6.05,Single crystalline
OsAs2,0.9,Polycrystalline
GaTe,1.42,Single crystalline
Mg2Pb,0.1,Polycrystalline
RuSe2,1,Polycrystalline
Ga2Te3,1.33,Single crystalline
Cr2O3,1,
MnO2,0.7,Single crystalline
P,0.33,Single crystalline
K3Sb,1.1,Polycrystalline
Bi2Te3,0.14,Single crystalline
MgF2,5.65,Single crystalline
Cd3As2,0.53,Single crystalline
As2S3,2.365,Single crystalline
In2Se,0.828,Single crystalline
GaSe,2.065,Single crystalline
Ga2S3,2.85,Single crystalline
AgCl,3.22,Single crystalline
PbBr2,3.2,Single crystalline
BaSe,3.6,Polycrystalline
In2O3,3.75,Single crystalline
SrS,4.76,Polycrystalline
Se,1.98,Single crystalline
EuS,1.69,Single crystalline
ZnSe,2.68,Single crystalline
RhS3,1.5,
TeI,1.1,
MnF2,9.9,Single crystalline
Cs3Bi,0.7,Polycrystalline
BN,3.4,
ZnS,3.87,Single crystalline
Mg2Si,0.6,Polycrystalline
NaCl,8.97,Single crystalline
GaAs,1.518,Single crystalline
ZnSb,0.59,Single crystalline
NaCl,8.97,Single crystalline
LiF,13.6,Single crystalline
Si3N4,5.1,Single crystalline
As2Se3,1.85,Amorphous
InAs,0.33,Single crystalline
TlBr,3.115,Single crystalline
SiO2,8,Amorphous
Ag2Te,0.064,Polycrystalline
GaP,2.78,Single crystalline
SnO2,3.93,Single crystalline
HfS2,1.96,Single crystalline
B,1.41,Single crystalline
CdI2,3.266,Single crystalline
Ag2O,1.5,Polycrystalline
Sm2S3,3,Single crystalline
GaSe,2.12,Single crystalline
As2S3,3,Single crystalline
NdF3,6.155,Polycrystalline
As2S3,2.32,Amorphous
AlB,0.5,Single crystalline
GaTe,1.74,Single crystalline
CdSb,0.535,Single crystalline
SnSe,0.91,Single crystalline
S,4.2,Single crystalline
CsCl,8.1,Polycrystalline
Cd3Bi2,0.2,
Te,0.337,Single crystalline
GaAs,1.33,Single crystalline
GaSe,2.132,Single crystalline
DyAs,1,Polycrystalline
CdAs2,1.04,Single crystalline
GaAs,1.521,Single crystalline
Cu2O,2.023,Polycrystalline
B,1.44,Single crystalline
V5O9,0.15,Single crystalline
CdAs2,0.89,Polycrystalline
ZnSe,2.67,Single crystalline
TiO2,3.05,Single crystalline
Zn3As2,0.93,Single crystalline
PbI2,3.01,Single crystalline
CaB6,4.5,Single crystalline
HgSe,0.07,Single crystalline
Si,1.12,Single crystalline
NaI,6.75,Single crystalline
PbTe,0.21,Single crystalline
HgO,2.48,Polycrystalline
AlAs,3.5,
UO,0.6,Polycrystalline
Al2O3,8.7,Single crystalline
ThO2,5.02,Single crystalline
ZnSb,1.09,Single crystalline
InAs,0.412,Single crystalline
HgSe,0.24,Single crystalline
ZnI2,4.53,Polycrystalline
HgS,2.21,Polycrystalline
Sb2S3,1.67,Single crystalline
Mg3As2,2.555,Polycrystalline
PbS,0.281,Single crystalline
LiCl,9.33,Single crystalline
As2Se3,1.5,Amorphous
Sb2S3,1.69,Single crystalline
LiI,6,
I,1.5,Single crystalline
MnSe2,0.2,Polycrystalline
Na2Te,2,
Mg2Ge,0.69,Single crystalline
Cr2Se3,0.025,
Er2O3,3.26,Polycrystalline
NaCl,8.5,Single crystalline
Ga2O3,4.54,Single crystalline
PrSb,0.66,Polycrystalline
PbI2,2.41,Single crystalline
CdSb,0.45,Single crystalline
Te,0.334,Single crystalline
NdTe2,0.48,
Nb2S3,0.12,Polycrystalline
TiS2,1.95,Single crystalline
Tl2Te3,0.2,
